State,costIndex,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost
Mississippi,86.1,93.2,666,92.3,89.1,91.4
Arkansas,86.9,92.5,75.6,90.7,91,97.4
Oklahoma,87,94.6,73,93.4,92.5,93.5
Missouri,87.1,95.4,78.3,96.3,90.4,95.8
New Mexico,87.5,94.6,84.4,89.9,98.5,91.9
Tennessee,88.7,93,79.4,91.7,8.6,92.9
Michigan,88.9,91,80.2,98.5,101.8,96.4
Kansas,89,92.6,70,100.1,95.4,90.3
Georgia,89.2,96.3,74.3,90.3,95.7,96.6
Wyoming,89.3,103.5,81.7,87.4,94.5,105.5
Alabama,89.3,98,69.2,100.7,92.8,94.1
Indiana,90,92.4,76.4,96.7,96.6,95.2
Iowa,90.1,98.3,76.5,94.1,98.6,93.7
Ohio,90.8,97.9,76.1,90.7,99.6,98.7
Nebraska,90.8,98.6,86.6,88.9,100.4,96.8
Kentucky,90.9,93.3,80.1,104.2,101.6,103.7
West Virginia,91.1,97.9,77.1,88.2,104.8,102.9
Texas,91.5,91.2,83.5,103.3,90.9,97
Idaho,92.3,91.6,105.5,82.8,98.6,100.9
Louisiana,93.9,95.6,86.3,86.7,94.9,98.4
Illinois,94.5,97.4,85.2,95.8,106.5,96.7
North Carolina,94.9,97.4,91.8,97.2,95.1,99.2
South Carolina,95.9,101.8,80.1,105,93.5,99.4
Arizona,97,101.8,106.2,105.2,98.8,99.7
Wisconsin,97.3,100.9,88.6,98.1,97.8,98.9
Florida,97.9,106.9,99.6,103.1,101.7,98.4
Utah,98.4,97.9,97.6,93.2,99.8,99.5
North Dakota,98.8,102.1,93.7,93.3,105.2,96.3
South Dakota,99.8,101.8,112.7,91.2,89.7,91.1
Virginia,100.7,96.1,112.1,96.5,88.7,100.2
Minnesota,101.6,105,90.4,96.2,102.8,108.8
Pennsylvania,101.7,109.3,100.6,109.5,112,102.9
Colorado,105.6,99.9,116.7,87.9,103,107.4
Montana,106.9,103.1,105.9,88.1,95.3,98.6
Delaware,108.1,109.5,93.3,104.3,111,113.7
Nevada,108.5,110.8,118.5,87,113.2,99.3
New Hampshire,109.7,99.7,110.3,115.2,99.6,110.8
Washington,110.7,109.2,116.7,91.1,118.3,110.4
Vermont,114.5,109.5,136.7,120.6,116.4,104.1
Maine,117.5,100.4,142,107.2,106.9,108.4
Rhode Island,119.4,108.7,124.2,125.8,111.1,118.7
New Jersey,125.1,108.7,137,104.6,106.5,106.6
Connecticut,127.7,101.8,137.7,132.3,112.7,114.1
Maryland,129.7,108.7,171.3,104,110.5,108
Alaska,129.9,132.7,126.6,157,111,113.7
Massachusetts,131.6,117,179.2,110.8,112.2,116.1
Oregon,134.2,109,178.1,90.1,125.3,118.5
New York,139.1,118.3,230.2,99.2,110.6,114.8
California,151.7,110.3,192.7,128.5,136.1,111.3
Hawaii,192.9,157.9,313.1,169.2,141.1,126.7
