DATE,W068RCQ027SBEA
1960,144.233
1960,147.417
1960,150.459
1960,153.78
1961,157.254
1961,160.737
1961,162.661
1961,166.344
1962,170.892
1962,173.125
1962,175.597
1962,178.206
1963,179.393
1963,180.369
1963,184.862
1963,186.792
1964,190.075
1964,192.97
1964,193.295
1964,192.973
1965,196.198
1965,200.088
1965,208.98
1965,214.261
1966,221.114
1966,227.479
1966,235.644
1966,243.763
1967,255.415
1967,256.922
1967,264.199
1967,268.385
1968,277.111
1968,286.708
1968,292.215
1968,298.982
1969,300.566
1969,307.101
1969,313.917
1969,318.243
1970,325.878
1970,339.049
1970,346.412
1970,354.25
1971,358.566
1971,373.206
1971,377.132
1971,383.306
1972,399.428
1972,403.929
1972,404.908
1972,419.285
1973,426.927
1973,439.107
1973,437.629
1973,451.019
1974,465.643
1974,477.348
1974,507.012
1974,521.209
1975,550.065
1975,571.864
1975,583.501
1975,600.049
1976,609.583
1976,606.867
1976,619.599
1976,630.202
1977,645.408
1977,657.414
1977,669.001
1977,688.771
1978,702.391
1978,721.911
1978,749.361
1978,767.108
1979,776.403
1979,799.709
1979,829.638
1979,851.736
1980,892.895
1980,922.797
1980,956.08
1980,970.565
1981,1022.594
1981,1037.406
1981,1063.556
1981,1102.243
1982,1122.585
1982,1150.144
1982,1185.946
1982,1222.288
1983,1245.64
1983,1255.644
1983,1289.036
1983,1299.511
1984,1320.756
1984,1349.946
1984,1380.136
1984,1423.837
1985,1450.988
1985,1483.532
1985,1514.894
1985,1537.959
1986,1557.805
1986,1583.015
1986,1625.337
1986,1625.423
1987,1646.039
1987,1671.575
1987,1686.721
1987,1720.342
1988,1734.528
1988,1750.068
1988,1762.318
1988,1810.922
1989,1844.66
1989,1882.377
1989,1914.59
1989,1946.346
1990,1998.202
1990,2033.141
1990,2059.883
1990,2130.474
1991,2069.788
1991,2147.776
1991,2209.803
1991,2239.205
1992,2294.836
1992,2326.569
1992,2355.715
1992,2379.825
1993,2383.922
1993,2398.116
1993,2423.515
1993,2445.454
1994,2429.861
1994,2460.32
1994,2508.239
1994,2544.704
1995,2582.423
1995,2610.521
1995,2598.783
1995,2615.396
1996,2669.979
1996,2695.197
1996,2701.801
1996,2720.88
1997,2740.531
1997,2741.552
1997,2784.966
1997,2822.362
1998,2809.434
1998,2837.501
1998,2866.201
1998,2909.222
1999,2931.044
1999,2959.52
1999,3004.028
1999,3086.823
2000,3074.397
2000,3129.768
2000,3152.254
2000,3210.083
2001,3280.819
2001,3358.217
2001,3377.367
2001,3436.53
2002,3508.647
2002,3554.587
2002,3598.998
2002,3681.871
2003,3744.177
2003,3808.76
2003,3839.406
2003,3869.703
2004,3947.702
2004,3982.852
2004,4050.203
2004,4093.92
2005,4201.029
2005,4240.85
2005,4375.914
2005,4393.619
2006,4456.559
2006,4508.744
2006,4557.261
2006,4555.974
2007,4747.079
2007,4792.841
2007,4859.514
2007,4934.382
2008,4991.989
2008,5366.788
2008,5236.25
2008,5452.409
2009,5533.429
2009,5680.717
2009,5641.212
2009,5693.133
2010,5804.974
2010,5872.568
2010,5825.414
2010,5834.793
2011,5848.004
2011,5906.467
2011,5852.866
2011,5879.574
2012,5835.737
2012,5825.191
2012,5834.161
2012,5872.514
2013,5836
2013,5846.239
2013,5864.665
2013,5868.619
2014,5904.824
2014,5974.243
2014,6045.984
2014,6081.506
2015,6112.126
2015,6059.788
2015,6225.731
2015,6245.98
2016,6318.634
2016,6320.457
2016,6412.654
2016,6462.249
2017,6509.084
2017,6542.647
2017,6644.987
2017,6696.023
2018,6790.24
2018,6905.927
2018,6974.682
2018,7049.049
2019,7165.638
2019,7243.438
2019,7319.767
2019,7418.355
2020,7470.751
2020,10910.42
2020,9706.163
2020,8471.923
2021,10790.83
2021,9245.721
2021,9004.472
